itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
8676,85506.8716,9.9826,0.6146,0.5201,576.0,18.0000,4.7867,5.1261,4.3252
8677,85516.5751,9.7035,0.6194,0.5256,576.0,18.0000,3.9324,5.0758,4.2999
8678,85526.4580,9.8829,0.6070,0.5128,576.0,18.0000,3.8642,5.1121,4.3041
8679,85536.4710,10.0130,0.5987,0.5037,576.0,18.0000,4.0110,5.1610,4.3398
8680,85546.2933,9.8223,0.6116,0.5172,576.0,18.0000,4.2347,5.1213,4.3216
8681,85556.0394,9.7462,0.6267,0.5326,576.0,18.0000,4.4249,5.1315,4.2739
8682,85565.8785,9.8391,0.6118,0.5168,576.0,18.0000,4.1774,5.1870,4.3145
8683,85575.7697,9.8911,0.6089,0.5143,576.0,18.0000,3.8158,5.1262,4.3356
8684,85585.7099,9.9403,0.6136,0.5198,576.0,18.0000,3.1254,5.0922,4.2903
8685,85595.4486,9.7387,0.6204,0.5257,576.0,18.0000,2.7954,5.1592,4.3076
8686,85605.3177,9.8690,0.6183,0.5239,576.0,18.0000,3.4207,5.1193,4.3168
8687,85615.1099,9.7922,0.6139,0.5198,576.0,18.0000,3.6093,5.1186,4.2855
8688,85625.0424,9.9325,0.6206,0.5250,576.0,18.0000,3.2510,5.2232,4.3343
8689,85634.5653,9.5229,0.6203,0.5262,576.0,18.0000,3.0370,5.1315,4.2857
8690,85644.5274,9.9621,0.6278,0.5336,576.0,18.0000,3.2871,5.1379,4.2764
8691,85654.3865,9.8591,0.6267,0.5318,576.0,18.0000,4.0037,5.1838,4.3108
8692,85664.3023,9.9158,0.6236,0.5290,576.0,18.0000,4.0697,5.1817,4.2754
8693,85674.0421,9.7398,0.6256,0.5314,576.0,18.0000,3.6234,5.1402,4.2815
8694,85683.8558,9.8137,0.6402,0.5459,576.0,18.0000,3.1740,5.1443,4.2901
8695,85693.6792,9.8233,0.6197,0.5255,576.0,18.0000,3.1718,5.1345,4.2802
8696,85703.4757,9.7965,0.6272,0.5329,576.0,18.0000,3.0428,5.1291,4.2988
8697,85713.3952,9.9195,0.6157,0.5217,576.0,18.0000,3.3533,5.1096,4.2946
8698,85723.2644,9.8692,0.6181,0.5230,576.0,18.0000,3.5576,5.2122,4.3002
8699,85732.2071,8.9427,0.6234,0.5288,576.0,18.0000,3.7138,5.1692,4.2855
8700,85742.0704,9.8633,0.6365,0.5418,576.0,18.0000,3.6264,5.1846,4.2907
8701,85751.7927,9.7223,0.6174,0.5227,576.0,18.0000,3.4049,5.1742,4.2967
8702,85761.4972,9.7045,0.6199,0.5261,576.0,18.0000,3.3418,5.1030,4.2794
8703,85771.3511,9.8539,0.6160,0.5216,576.0,18.0000,4.1813,5.1338,4.3059
8704,85781.1791,9.8279,0.6155,0.5206,576.0,18.0000,5.4316,5.1728,4.3153
8705,85791.0710,9.8919,0.6249,0.5308,576.0,18.0000,6.0160,5.1168,4.2942
8706,85800.7633,9.6923,0.6215,0.5274,576.0,18.0000,6.0430,5.1270,4.2816
8707,85810.7084,9.9452,0.6284,0.5337,576.0,18.0000,5.6974,5.1671,4.3081
8708,85820.4182,9.7097,0.6093,0.5161,576.0,18.0000,4.5440,5.0412,4.2804
8709,85830.1339,9.7158,0.6055,0.5107,576.0,18.0000,4.1289,5.1558,4.3266
8710,85840.0675,9.9336,0.6212,0.5263,576.0,18.0000,4.2959,5.1673,4.3148
8711,85849.9940,9.9265,0.6224,0.5294,576.0,18.0000,4.2300,5.0323,4.2679
8712,85859.7145,9.7205,0.6188,0.5242,576.0,18.0000,3.9674,5.1416,4.3192
8713,85869.4089,9.6943,0.6077,0.5137,576.0,18.0000,3.9358,5.1273,4.2774
8714,85879.3469,9.9380,0.6066,0.5122,576.0,18.0000,3.9572,5.1097,4.3323
8715,85889.3319,9.9850,0.6212,0.5266,576.0,18.0000,4.2685,5.1513,4.3146
8716,85899.2096,9.8777,0.6148,0.5211,576.0,18.0000,4.1559,5.1088,4.2645
8717,85908.3273,9.1177,0.6153,0.5206,576.0,18.0000,3.6054,5.1592,4.3182
8718,85918.2473,9.9200,0.6254,0.5318,576.0,18.0000,3.7323,5.0695,4.2851
8719,85927.9922,9.7449,0.6148,0.5204,576.0,18.0000,4.3734,5.1451,4.2874
8720,85937.8759,9.8837,0.6233,0.5276,576.0,18.0000,4.6340,5.2297,4.3457
8721,85947.7200,9.8442,0.6166,0.5241,576.0,18.0000,4.1947,5.0105,4.2431
8722,85957.7448,10.0247,0.6137,0.5196,576.0,18.0000,3.4188,5.1166,4.2985
8723,85967.6335,9.8887,0.6179,0.5213,576.0,18.0000,3.3159,5.2862,4.3730
8724,85977.0429,9.4094,0.6265,0.5337,576.0,18.0000,3.4542,5.0471,4.2351
8725,85987.0181,9.9752,0.6261,0.5321,576.0,18.0000,3.4684,5.1148,4.2795
8726,85996.7023,9.6842,0.6132,0.5178,576.0,18.0000,4.3022,5.2047,4.3437
8727,86006.5419,9.8396,0.6177,0.5236,576.0,18.0000,5.4433,5.1184,4.2896
8728,86016.3935,9.8516,0.6283,0.5344,576.0,18.0000,5.8402,5.1037,4.2908
8729,86026.1787,9.7852,0.6225,0.5287,576.0,18.0000,5.3385,5.0929,4.2950
8730,86035.2419,9.0632,0.6169,0.5228,576.0,18.0000,4.6655,5.1115,4.2914
8731,86045.0947,9.8529,0.6202,0.5267,576.0,18.0000,4.2852,5.0514,4.2978
8732,86054.9584,9.8636,0.6190,0.5250,576.0,18.0000,3.8731,5.1109,4.2883
8733,86064.7786,9.8203,0.6064,0.5109,576.0,18.0000,3.8725,5.2374,4.3162
8734,86074.5626,9.7840,0.6230,0.5289,576.0,18.0000,3.8775,5.1100,4.3062
8735,86084.5153,9.9526,0.6212,0.5270,576.0,18.0000,3.5976,5.1226,4.2975
